"","row_id","id","sex","species","Status","date","time","date_time","temp","x","y","Habitat_type"
"43",43,"Akward","M","spotted","Valid",2018-05-04,"05:00:0",2018-05-04 05:00:00,12,-45.4259250620962,778.061510626227,"Meadow marsh"
"44",44,"Akward","M","spotted","Valid",2018-05-04,"02:00:0",2018-05-04 02:00:00,12.5,-44.5448250620975,783.604510625824,"Phragmites"
"45",45,"Akward","M","spotted","Valid",2018-05-04,"15:00:0",2018-05-04 15:00:00,22.5,-43.7655250621028,779.154510626569,"Cattail"
"46",46,"Akward","M","spotted","Valid",2018-05-04,"17:00:0",2018-05-04 17:00:00,33,-43.0429250621237,769.153510626405,"Cattail"
"47",47,"Akward","M","spotted","Valid",2018-05-04,"22:00:0",2018-05-04 22:00:00,18.5,-40.2750250621466,797.997510625981,"Phragmites"
"48",48,"Akward","M","spotted","Valid",2018-05-05,"04:00:1",2018-05-05 04:00:01,10,-38.6372250621207,796.870510626584,"Shrub"
"49",49,"Akward","M","spotted","Valid",2018-05-05,"15:00:0",2018-05-05 15:00:00,27,-23.795825062145,796.718510625884,"Meadow marsh"
"50",50,"Akward","M","spotted","Valid",2018-05-05,"18:00:0",2018-05-05 18:00:00,28.5,-47.8995250621228,778.086510626599,"Cattail"
"51",51,"Akward","M","spotted","Valid",2018-05-05,"16:00:0",2018-05-05 16:00:00,31,-46.1825250621187,784.731510626152,"Phragmites"
"52",52,"Akward","M","spotted","Valid",2018-05-05,"06:00:0",2018-05-05 06:00:00,9.5,-41.9240250621224,798.014510625973,"Phragmites"
"53",53,"Akward","M","spotted","Valid",2018-05-05,"05:00:0",2018-05-05 05:00:00,9.5,-40.3655250621377,789.114510626532,"Phragmites"
"54",54,"Akward","M","spotted","Valid",2018-05-05,"02:00:1",2018-05-05 02:00:01,13.5,-40.2523250621161,800.21751062572,"Phragmites"
"55",55,"Akward","M","spotted","Valid",2018-05-05,"17:00:0",2018-05-05 17:00:00,35.5,-35.5995250621345,771.298510625958,"Cattail"
"56",56,"Akward","M","spotted","Valid",2018-05-05,"01:00:0",2018-05-05 01:00:00,15,-31.8939250620897,811.237510626204,"Phragmites"
"57",57,"Akward","M","spotted","Valid",2018-05-06,"20:00:0",2018-05-06 20:00:00,21.5,-51.1070250621415,787.003510626033,"Phragmites"
"58",58,"Akward","M","spotted","Valid",2018-05-06,"19:00:0",2018-05-06 19:00:00,23,-49.537225062144,779.213510625996,"Cattail"
"59",59,"Akward","M","spotted","Valid",2018-05-06,"18:00:0",2018-05-06 18:00:00,20,-49.5032250621007,782.544510626234,"Cattail"
"60",60,"Akward","M","spotted","Valid",2018-05-06,"15:00:0",2018-05-06 15:00:00,34.5,-49.491925062146,783.655510625802,"Phragmites"
"61",61,"Akward","M","spotted","Valid",2018-05-06,"16:00:0",2018-05-06 16:00:00,30.5,-48.6448250621324,785.867510626093,"Phragmites"
"62",62,"Akward","M","spotted","Valid",2018-05-06,"17:00:0",2018-05-06 17:00:00,29.5,-38.8749250621186,773.552510626614,"Cattail"
